# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
[i] iter = 100, loss = 1.9317, x_loss = 1.8560, l2_reg_loss = 0.0757, accuracy = 14.28, train_time = 11sec
[i] iter = 2300, loss = 0.8800, x_loss = 0.7649, l2_reg_loss = 0.1151, accuracy = 73.34, train_time = 7sec
[i] iter = 2400, loss = 0.8523, x_loss = 0.7360, l2_reg_loss = 0.1163, accuracy = 73.20, train_time = 7sec
[i] iter = 2500, loss = 0.8624, x_loss = 0.7445, l2_reg_loss = 0.1180, accuracy = 73.58, train_time = 7sec
[i] iter = 2600, loss = 0.8472, x_loss = 0.7274, l2_reg_loss = 0.1199, accuracy = 74.67, train_time = 7sec
[i] iter = 2700, loss = 0.8225, x_loss = 0.7011, l2_reg_loss = 0.1213, accuracy = 76.31, train_time = 7sec
[i] iter = 2800, loss = 0.8197, x_loss = 0.6966, l2_reg_loss = 0.1230, accuracy = 76.27, train_time = 7sec
[i] iter = 2900, loss = 0.7861, x_loss = 0.6617, l2_reg_loss = 0.1244, accuracy = 77.31, train_time = 7sec
[i] iter = 3000, loss = 0.7896, x_loss = 0.6639, l2_reg_loss = 0.1257, accuracy = 78.02, train_time = 7sec
[i] iter = 3100, loss = 0.8142, x_loss = 0.6867, l2_reg_loss = 0.1275, accuracy = 77.59, train_time = 7sec
[i] iter = 3200, loss = 0.7813, x_loss = 0.6524, l2_reg_loss = 0.1289, accuracy = 79.20, train_time = 7sec
[i] iter = 3300, loss = 0.7784, x_loss = 0.6483, l2_reg_loss = 0.1300, accuracy = 79.03, train_time = 7sec
[i] iter = 3400, loss = 0.7751, x_loss = 0.6437, l2_reg_loss = 0.1314, accuracy = 79.03, train_time = 7sec
[i] iter = 3500, loss = 0.7795, x_loss = 0.6469, l2_reg_loss = 0.1326, accuracy = 79.70, train_time = 7sec
[i] iter = 3600, loss = 0.7810, x_loss = 0.6475, l2_reg_loss = 0.1334, accuracy = 79.34, train_time = 7sec
[i] iter = 3700, loss = 0.7671, x_loss = 0.6329, l2_reg_loss = 0.1342, accuracy = 80.12, train_time = 7sec
[i] iter = 3800, loss = 0.7299, x_loss = 0.5950, l2_reg_loss = 0.1349, accuracy = 81.47, train_time = 7sec
[i] iter = 3900, loss = 0.7436, x_loss = 0.6077, l2_reg_loss = 0.1359, accuracy = 81.45, train_time = 7sec
[i] iter = 4000, loss = 0.7261, x_loss = 0.5894, l2_reg_loss = 0.1367, accuracy = 82.22, train_time = 7sec
[i] iter = 4100, loss = 0.7191, x_loss = 0.5812, l2_reg_loss = 0.1379, accuracy = 82.89, train_time = 7sec
[i] iter = 4200, loss = 0.7313, x_loss = 0.5922, l2_reg_loss = 0.1391, accuracy = 82.47, train_time = 7sec
[i] iter = 4300, loss = 0.6891, x_loss = 0.5494, l2_reg_loss = 0.1397, accuracy = 83.91, train_time = 7sec
[i] iter = 4400, loss = 0.7367, x_loss = 0.5965, l2_reg_loss = 0.1402, accuracy = 82.86, train_time = 7sec
[i] iter = 4500, loss = 0.6951, x_loss = 0.5544, l2_reg_loss = 0.1407, accuracy = 83.94, train_time = 7sec
[i] iter = 4600, loss = 0.6814, x_loss = 0.5399, l2_reg_loss = 0.1415, accuracy = 84.86, train_time = 7sec
[i] iter = 4700, loss = 0.7153, x_loss = 0.5731, l2_reg_loss = 0.1422, accuracy = 83.64, train_time = 7sec
[i] iter = 4800, loss = 0.7201, x_loss = 0.5769, l2_reg_loss = 0.1432, accuracy = 83.19, train_time = 7sec
[i] iter = 4900, loss = 0.6830, x_loss = 0.5391, l2_reg_loss = 0.1439, accuracy = 84.45, train_time = 7sec
[i] iter = 5000, loss = 0.6786, x_loss = 0.5345, l2_reg_loss = 0.1441, accuracy = 84.56, train_time = 7sec
[i] iter = 5000, test_accuracy = 84.06, test_time = 1sec
[i] iter = 5100, loss = 0.6858, x_loss = 0.5411, l2_reg_loss = 0.1447, accuracy = 84.84, train_time = 8sec
[i] iter = 5200, loss = 0.6497, x_loss = 0.5044, l2_reg_loss = 0.1452, accuracy = 84.98, train_time = 7sec
[i] iter = 5300, loss = 0.6739, x_loss = 0.5282, l2_reg_loss = 0.1456, accuracy = 85.73, train_time = 7sec
[i] iter = 5400, loss = 0.6576, x_loss = 0.5113, l2_reg_loss = 0.1463, accuracy = 85.69, train_time = 7sec
[i] iter = 5500, loss = 0.6684, x_loss = 0.5213, l2_reg_loss = 0.1471, accuracy = 85.19, train_time = 7sec
[i] iter = 5600, loss = 0.6453, x_loss = 0.4978, l2_reg_loss = 0.1476, accuracy = 86.19, train_time = 7sec
[i] iter = 5700, loss = 0.6501, x_loss = 0.5025, l2_reg_loss = 0.1477, accuracy = 86.11, train_time = 7sec
[i] iter = 5800, loss = 0.6300, x_loss = 0.4822, l2_reg_loss = 0.1477, accuracy = 86.75, train_time = 7sec
[i] iter = 5900, loss = 0.6412, x_loss = 0.4934, l2_reg_loss = 0.1478, accuracy = 86.23, train_time = 7sec
[i] iter = 6000, loss = 0.6629, x_loss = 0.5146, l2_reg_loss = 0.1483, accuracy = 85.83, train_time = 7sec
[i] iter = 6100, loss = 0.6460, x_loss = 0.4970, l2_reg_loss = 0.1489, accuracy = 86.70, train_time = 7sec
[i] iter = 6200, loss = 0.6468, x_loss = 0.4968, l2_reg_loss = 0.1500, accuracy = 86.67, train_time = 7sec
[i] iter = 6300, loss = 0.6364, x_loss = 0.4860, l2_reg_loss = 0.1504, accuracy = 86.89, train_time = 7sec
[i] iter = 6400, loss = 0.6605, x_loss = 0.5099, l2_reg_loss = 0.1506, accuracy = 86.47, train_time = 7sec
[i] iter = 6500, loss = 0.6128, x_loss = 0.4622, l2_reg_loss = 0.1507, accuracy = 87.86, train_time = 7sec
[i] iter = 6600, loss = 0.6313, x_loss = 0.4807, l2_reg_loss = 0.1506, accuracy = 87.16, train_time = 7sec
[i] iter = 6700, loss = 0.6296, x_loss = 0.4786, l2_reg_loss = 0.1510, accuracy = 87.58, train_time = 7sec
[i] iter = 6800, loss = 0.6156, x_loss = 0.4641, l2_reg_loss = 0.1515, accuracy = 88.36, train_time = 7sec
[i] iter = 6900, loss = 0.6289, x_loss = 0.4769, l2_reg_loss = 0.1520, accuracy = 87.48, train_time = 7sec
[i] iter = 7000, loss = 0.6175, x_loss = 0.4653, l2_reg_loss = 0.1522, accuracy = 87.94, train_time = 7sec
[i] iter = 7100, loss = 0.5908, x_loss = 0.4383, l2_reg_loss = 0.1525, accuracy = 87.92, train_time = 7sec
[i] iter = 7200, loss = 0.6085, x_loss = 0.4560, l2_reg_loss = 0.1524, accuracy = 87.78, train_time = 7sec
[i] iter = 7300, loss = 0.6092, x_loss = 0.4567, l2_reg_loss = 0.1525, accuracy = 88.22, train_time = 7sec
[i] iter = 7400, loss = 0.6122, x_loss = 0.4595, l2_reg_loss = 0.1527, accuracy = 88.11, train_time = 7sec
[i] iter = 7500, loss = 0.5943, x_loss = 0.4413, l2_reg_loss = 0.1530, accuracy = 89.39, train_time = 7sec
[i] iter = 7600, loss = 0.5804, x_loss = 0.4272, l2_reg_loss = 0.1532, accuracy = 89.33, train_time = 7sec
[i] iter = 7700, loss = 0.5860, x_loss = 0.4328, l2_reg_loss = 0.1532, accuracy = 89.00, train_time = 7sec
[i] iter = 7800, loss = 0.6031, x_loss = 0.4496, l2_reg_loss = 0.1535, accuracy = 88.62, train_time = 7sec
[i] iter = 7900, loss = 0.5999, x_loss = 0.4459, l2_reg_loss = 0.1540, accuracy = 88.44, train_time = 7sec
[i] iter = 8000, loss = 0.5874, x_loss = 0.4334, l2_reg_loss = 0.1540, accuracy = 89.09, train_time = 7sec
[i] iter = 8100, loss = 0.5989, x_loss = 0.4447, l2_reg_loss = 0.1542, accuracy = 89.17, train_time = 7sec
[i] iter = 8200, loss = 0.5774, x_loss = 0.4230, l2_reg_loss = 0.1544, accuracy = 89.47, train_time = 7sec
[i] iter = 8300, loss = 0.5884, x_loss = 0.4339, l2_reg_loss = 0.1546, accuracy = 89.08, train_time = 7sec
[i] iter = 8400, loss = 0.5985, x_loss = 0.4434, l2_reg_loss = 0.1551, accuracy = 89.00, train_time = 7sec
[i] iter = 8500, loss = 0.5629, x_loss = 0.4076, l2_reg_loss = 0.1554, accuracy = 89.45, train_time = 7sec
[i] iter = 8600, loss = 0.5914, x_loss = 0.4360, l2_reg_loss = 0.1554, accuracy = 89.33, train_time = 7sec
[i] iter = 8700, loss = 0.5761, x_loss = 0.4202, l2_reg_loss = 0.1559, accuracy = 89.86, train_time = 7sec
[i] iter = 8800, loss = 0.5638, x_loss = 0.4076, l2_reg_loss = 0.1562, accuracy = 90.27, train_time = 7sec
[i] iter = 8900, loss = 0.5737, x_loss = 0.4175, l2_reg_loss = 0.1563, accuracy = 89.50, train_time = 7sec
[i] iter = 9000, loss = 0.5509, x_loss = 0.3942, l2_reg_loss = 0.1567, accuracy = 90.59, train_time = 7sec
[i] iter = 9100, loss = 0.5638, x_loss = 0.4068, l2_reg_loss = 0.1570, accuracy = 90.22, train_time = 7sec
[i] iter = 9200, loss = 0.5680, x_loss = 0.4104, l2_reg_loss = 0.1576, accuracy = 90.53, train_time = 7sec
[i] iter = 9300, loss = 0.5878, x_loss = 0.4300, l2_reg_loss = 0.1578, accuracy = 89.47, train_time = 7sec
[i] iter = 9400, loss = 0.5696, x_loss = 0.4115, l2_reg_loss = 0.1581, accuracy = 90.23, train_time = 7sec
[i] iter = 9500, loss = 0.5595, x_loss = 0.4010, l2_reg_loss = 0.1585, accuracy = 90.20, train_time = 7sec
[i] iter = 9600, loss = 0.5575, x_loss = 0.3990, l2_reg_loss = 0.1585, accuracy = 90.70, train_time = 7sec
[i] iter = 9700, loss = 0.5596, x_loss = 0.4008, l2_reg_loss = 0.1588, accuracy = 90.94, train_time = 7sec
[i] iter = 9800, loss = 0.5523, x_loss = 0.3933, l2_reg_loss = 0.1589, accuracy = 90.41, train_time = 7sec
[i] iter = 9900, loss = 0.5440, x_loss = 0.3849, l2_reg_loss = 0.1591, accuracy = 90.69, train_time = 7sec
[i] iter = 10000, loss = 0.5392, x_loss = 0.3800, l2_reg_loss = 0.1591, accuracy = 91.33, train_time = 7sec
[i] iter = 10000, test_accuracy = 88.95, test_time = 1sec
[i] iter = 10100, loss = 0.5425, x_loss = 0.3831, l2_reg_loss = 0.1594, accuracy = 90.59, train_time = 8sec
[i] iter = 10200, loss = 0.5663, x_loss = 0.4066, l2_reg_loss = 0.1597, accuracy = 90.41, train_time = 7sec
[i] iter = 10300, loss = 0.5491, x_loss = 0.3893, l2_reg_loss = 0.1598, accuracy = 90.28, train_time = 7sec
[i] iter = 10400, loss = 0.5471, x_loss = 0.3872, l2_reg_loss = 0.1599, accuracy = 91.06, train_time = 7sec
[i] iter = 10500, loss = 0.5581, x_loss = 0.3981, l2_reg_loss = 0.1600, accuracy = 91.11, train_time = 7sec
[i] iter = 10600, loss = 0.5445, x_loss = 0.3843, l2_reg_loss = 0.1603, accuracy = 90.94, train_time = 7sec
[i] iter = 10700, loss = 0.5268, x_loss = 0.3665, l2_reg_loss = 0.1602, accuracy = 91.53, train_time = 7sec
[i] iter = 10800, loss = 0.5392, x_loss = 0.3788, l2_reg_loss = 0.1604, accuracy = 91.17, train_time = 7sec
[i] iter = 10900, loss = 0.5414, x_loss = 0.3810, l2_reg_loss = 0.1605, accuracy = 91.36, train_time = 7sec
[i] iter = 11000, loss = 0.5288, x_loss = 0.3681, l2_reg_loss = 0.1607, accuracy = 91.59, train_time = 7sec
[i] iter = 11100, loss = 0.5367, x_loss = 0.3762, l2_reg_loss = 0.1605, accuracy = 91.38, train_time = 7sec
[i] iter = 11200, loss = 0.5341, x_loss = 0.3732, l2_reg_loss = 0.1608, accuracy = 91.25, train_time = 7sec
[i] iter = 11300, loss = 0.5098, x_loss = 0.3489, l2_reg_loss = 0.1609, accuracy = 92.41, train_time = 7sec
[i] iter = 11400, loss = 0.5351, x_loss = 0.3742, l2_reg_loss = 0.1610, accuracy = 91.44, train_time = 7sec
[i] iter = 11500, loss = 0.5174, x_loss = 0.3559, l2_reg_loss = 0.1615, accuracy = 91.73, train_time = 7sec
[i] iter = 11600, loss = 0.4966, x_loss = 0.3353, l2_reg_loss = 0.1613, accuracy = 92.25, train_time = 7sec
[i] iter = 11700, loss = 0.5146, x_loss = 0.3531, l2_reg_loss = 0.1614, accuracy = 92.27, train_time = 7sec
[i] iter = 11800, loss = 0.5181, x_loss = 0.3564, l2_reg_loss = 0.1617, accuracy = 91.88, train_time = 7sec
[i] iter = 11900, loss = 0.5365, x_loss = 0.3743, l2_reg_loss = 0.1622, accuracy = 91.66, train_time = 7sec
[i] iter = 12000, loss = 0.5170, x_loss = 0.3547, l2_reg_loss = 0.1624, accuracy = 91.73, train_time = 7sec
[i] iter = 12100, loss = 0.5108, x_loss = 0.3486, l2_reg_loss = 0.1622, accuracy = 92.00, train_time = 7sec
[i] iter = 12200, loss = 0.4974, x_loss = 0.3354, l2_reg_loss = 0.1620, accuracy = 92.20, train_time = 7sec
[i] iter = 12300, loss = 0.5258, x_loss = 0.3635, l2_reg_loss = 0.1622, accuracy = 92.09, train_time = 7sec
[i] iter = 12400, loss = 0.5289, x_loss = 0.3664, l2_reg_loss = 0.1625, accuracy = 92.36, train_time = 7sec
[i] iter = 12500, loss = 0.5148, x_loss = 0.3519, l2_reg_loss = 0.1629, accuracy = 92.27, train_time = 7sec
[i] iter = 12600, loss = 0.5097, x_loss = 0.3464, l2_reg_loss = 0.1633, accuracy = 92.36, train_time = 7sec
[i] iter = 12700, loss = 0.4978, x_loss = 0.3343, l2_reg_loss = 0.1635, accuracy = 92.78, train_time = 7sec
[i] iter = 12800, loss = 0.5178, x_loss = 0.3542, l2_reg_loss = 0.1635, accuracy = 92.11, train_time = 7sec
[i] iter = 12900, loss = 0.4922, x_loss = 0.3287, l2_reg_loss = 0.1635, accuracy = 92.98, train_time = 7sec
[i] iter = 13000, loss = 0.5230, x_loss = 0.3597, l2_reg_loss = 0.1633, accuracy = 92.25, train_time = 7sec
[i] iter = 13100, loss = 0.5116, x_loss = 0.3482, l2_reg_loss = 0.1634, accuracy = 92.14, train_time = 7sec
[i] iter = 13200, loss = 0.4898, x_loss = 0.3267, l2_reg_loss = 0.1631, accuracy = 92.83, train_time = 7sec
[i] iter = 13300, loss = 0.5121, x_loss = 0.3488, l2_reg_loss = 0.1633, accuracy = 92.48, train_time = 7sec
[i] iter = 13400, loss = 0.5005, x_loss = 0.3369, l2_reg_loss = 0.1636, accuracy = 92.70, train_time = 7sec
[i] iter = 13500, loss = 0.5103, x_loss = 0.3466, l2_reg_loss = 0.1637, accuracy = 92.36, train_time = 7sec
[i] iter = 13600, loss = 0.4891, x_loss = 0.3253, l2_reg_loss = 0.1638, accuracy = 93.23, train_time = 7sec
[i] iter = 13700, loss = 0.5130, x_loss = 0.3487, l2_reg_loss = 0.1643, accuracy = 92.70, train_time = 7sec
[i] iter = 13800, loss = 0.5024, x_loss = 0.3382, l2_reg_loss = 0.1642, accuracy = 93.17, train_time = 7sec
[i] iter = 13900, loss = 0.4948, x_loss = 0.3308, l2_reg_loss = 0.1640, accuracy = 92.67, train_time = 7sec
[i] iter = 14000, loss = 0.4995, x_loss = 0.3352, l2_reg_loss = 0.1643, accuracy = 93.09, train_time = 7sec
[i] iter = 14100, loss = 0.4855, x_loss = 0.3212, l2_reg_loss = 0.1644, accuracy = 93.23, train_time = 7sec
[i] iter = 14200, loss = 0.4968, x_loss = 0.3325, l2_reg_loss = 0.1644, accuracy = 92.73, train_time = 7sec
[i] iter = 14300, loss = 0.4861, x_loss = 0.3218, l2_reg_loss = 0.1643, accuracy = 93.16, train_time = 7sec
[i] iter = 14400, loss = 0.4968, x_loss = 0.3324, l2_reg_loss = 0.1644, accuracy = 92.80, train_time = 7sec
[i] iter = 14500, loss = 0.5014, x_loss = 0.3370, l2_reg_loss = 0.1644, accuracy = 92.92, train_time = 7sec
[i] iter = 14600, loss = 0.4810, x_loss = 0.3165, l2_reg_loss = 0.1644, accuracy = 93.20, train_time = 7sec
[i] iter = 14700, loss = 0.4767, x_loss = 0.3120, l2_reg_loss = 0.1646, accuracy = 93.61, train_time = 7sec
[i] iter = 14800, loss = 0.5175, x_loss = 0.3527, l2_reg_loss = 0.1648, accuracy = 92.55, train_time = 7sec
[i] iter = 14900, loss = 0.4703, x_loss = 0.3055, l2_reg_loss = 0.1648, accuracy = 93.58, train_time = 7sec
[i] iter = 15000, loss = 0.4847, x_loss = 0.3201, l2_reg_loss = 0.1646, accuracy = 93.45, train_time = 7sec
[i] iter = 15000, test_accuracy = 90.51, test_time = 1sec
[i] iter = 15100, loss = 0.4842, x_loss = 0.3196, l2_reg_loss = 0.1646, accuracy = 93.50, train_time = 8sec
[i] iter = 15200, loss = 0.4838, x_loss = 0.3191, l2_reg_loss = 0.1647, accuracy = 92.86, train_time = 7sec
[i] iter = 15300, loss = 0.4853, x_loss = 0.3206, l2_reg_loss = 0.1647, accuracy = 93.28, train_time = 7sec
[i] iter = 15400, loss = 0.4883, x_loss = 0.3232, l2_reg_loss = 0.1651, accuracy = 92.86, train_time = 7sec
[i] iter = 15500, loss = 0.4798, x_loss = 0.3145, l2_reg_loss = 0.1654, accuracy = 93.14, train_time = 7sec
[i] iter = 15600, loss = 0.5053, x_loss = 0.3398, l2_reg_loss = 0.1655, accuracy = 93.02, train_time = 7sec
[i] iter = 15700, loss = 0.4822, x_loss = 0.3165, l2_reg_loss = 0.1656, accuracy = 93.52, train_time = 7sec
[i] iter = 15800, loss = 0.4760, x_loss = 0.3103, l2_reg_loss = 0.1657, accuracy = 93.38, train_time = 7sec
[i] iter = 15900, loss = 0.4881, x_loss = 0.3224, l2_reg_loss = 0.1657, accuracy = 93.53, train_time = 7sec
[i] iter = 16000, loss = 0.4653, x_loss = 0.2995, l2_reg_loss = 0.1658, accuracy = 93.69, train_time = 7sec
[i] iter = 16100, loss = 0.4710, x_loss = 0.3054, l2_reg_loss = 0.1656, accuracy = 93.88, train_time = 7sec
[i] iter = 16200, loss = 0.4744, x_loss = 0.3087, l2_reg_loss = 0.1656, accuracy = 93.58, train_time = 7sec
[i] iter = 16300, loss = 0.4788, x_loss = 0.3133, l2_reg_loss = 0.1655, accuracy = 93.80, train_time = 7sec
[i] iter = 16400, loss = 0.4860, x_loss = 0.3202, l2_reg_loss = 0.1657, accuracy = 93.42, train_time = 7sec
[i] iter = 16500, loss = 0.4800, x_loss = 0.3140, l2_reg_loss = 0.1660, accuracy = 93.66, train_time = 7sec
[i] iter = 16600, loss = 0.4611, x_loss = 0.2951, l2_reg_loss = 0.1661, accuracy = 93.94, train_time = 7sec
[i] iter = 16700, loss = 0.4862, x_loss = 0.3200, l2_reg_loss = 0.1661, accuracy = 93.52, train_time = 7sec
[i] iter = 16800, loss = 0.4585, x_loss = 0.2923, l2_reg_loss = 0.1663, accuracy = 93.88, train_time = 7sec
[i] iter = 16900, loss = 0.4656, x_loss = 0.2995, l2_reg_loss = 0.1661, accuracy = 93.50, train_time = 7sec
[i] iter = 17000, loss = 0.4732, x_loss = 0.3067, l2_reg_loss = 0.1664, accuracy = 94.16, train_time = 7sec
[i] iter = 17100, loss = 0.4672, x_loss = 0.3007, l2_reg_loss = 0.1664, accuracy = 93.69, train_time = 7sec
[i] iter = 17200, loss = 0.4661, x_loss = 0.2998, l2_reg_loss = 0.1663, accuracy = 93.77, train_time = 7sec
[i] iter = 17300, loss = 0.4569, x_loss = 0.2903, l2_reg_loss = 0.1666, accuracy = 94.09, train_time = 7sec
[i] iter = 17400, loss = 0.4865, x_loss = 0.3197, l2_reg_loss = 0.1668, accuracy = 93.45, train_time = 7sec
[i] iter = 17500, loss = 0.4815, x_loss = 0.3145, l2_reg_loss = 0.1670, accuracy = 93.34, train_time = 7sec
[i] iter = 17600, loss = 0.4503, x_loss = 0.2833, l2_reg_loss = 0.1670, accuracy = 94.41, train_time = 7sec
[i] iter = 17700, loss = 0.4777, x_loss = 0.3107, l2_reg_loss = 0.1670, accuracy = 93.78, train_time = 7sec
[i] iter = 17800, loss = 0.4622, x_loss = 0.2952, l2_reg_loss = 0.1671, accuracy = 93.91, train_time = 7sec
[i] iter = 17900, loss = 0.4567, x_loss = 0.2897, l2_reg_loss = 0.1669, accuracy = 94.17, train_time = 7sec
[i] iter = 18000, loss = 0.4656, x_loss = 0.2986, l2_reg_loss = 0.1670, accuracy = 93.88, train_time = 7sec
[i] iter = 18100, loss = 0.4682, x_loss = 0.3007, l2_reg_loss = 0.1675, accuracy = 94.66, train_time = 7sec
[i] iter = 18200, loss = 0.4722, x_loss = 0.3041, l2_reg_loss = 0.1681, accuracy = 94.11, train_time = 7sec
[i] iter = 18300, loss = 0.4798, x_loss = 0.3113, l2_reg_loss = 0.1685, accuracy = 93.80, train_time = 7sec
[i] iter = 18400, loss = 0.4477, x_loss = 0.2794, l2_reg_loss = 0.1683, accuracy = 94.38, train_time = 7sec
[i] iter = 18500, loss = 0.4684, x_loss = 0.3003, l2_reg_loss = 0.1681, accuracy = 94.25, train_time = 7sec
[i] iter = 18600, loss = 0.4393, x_loss = 0.2713, l2_reg_loss = 0.1679, accuracy = 94.55, train_time = 7sec
[i] iter = 18700, loss = 0.4505, x_loss = 0.2827, l2_reg_loss = 0.1677, accuracy = 94.53, train_time = 7sec
[i] iter = 18800, loss = 0.4649, x_loss = 0.2972, l2_reg_loss = 0.1678, accuracy = 94.53, train_time = 7sec
[i] iter = 18900, loss = 0.4817, x_loss = 0.3135, l2_reg_loss = 0.1683, accuracy = 94.05, train_time = 7sec
[i] iter = 19000, loss = 0.4577, x_loss = 0.2893, l2_reg_loss = 0.1684, accuracy = 94.05, train_time = 7sec
[i] iter = 19100, loss = 0.4334, x_loss = 0.2652, l2_reg_loss = 0.1682, accuracy = 94.52, train_time = 7sec
[i] iter = 19200, loss = 0.4651, x_loss = 0.2972, l2_reg_loss = 0.1679, accuracy = 93.95, train_time = 7sec
[i] iter = 19300, loss = 0.4467, x_loss = 0.2788, l2_reg_loss = 0.1679, accuracy = 94.39, train_time = 7sec
[i] iter = 19400, loss = 0.4522, x_loss = 0.2845, l2_reg_loss = 0.1677, accuracy = 94.17, train_time = 7sec
[i] iter = 19500, loss = 0.4496, x_loss = 0.2818, l2_reg_loss = 0.1678, accuracy = 94.34, train_time = 7sec
[i] iter = 19600, loss = 0.4644, x_loss = 0.2965, l2_reg_loss = 0.1679, accuracy = 93.97, train_time = 7sec
[i] iter = 19700, loss = 0.4270, x_loss = 0.2591, l2_reg_loss = 0.1678, accuracy = 94.91, train_time = 7sec
[i] iter = 19800, loss = 0.4473, x_loss = 0.2794, l2_reg_loss = 0.1678, accuracy = 95.06, train_time = 7sec
[i] iter = 19900, loss = 0.4514, x_loss = 0.2833, l2_reg_loss = 0.1681, accuracy = 94.55, train_time = 7sec
[i] iter = 20000, loss = 0.4585, x_loss = 0.2903, l2_reg_loss = 0.1683, accuracy = 94.47, train_time = 7sec
[i] iter = 20000, test_accuracy = 91.23, test_time = 1sec
[i] iter = 20100, loss = 0.4512, x_loss = 0.2831, l2_reg_loss = 0.1682, accuracy = 94.52, train_time = 8sec
[i] iter = 20200, loss = 0.4610, x_loss = 0.2927, l2_reg_loss = 0.1683, accuracy = 94.64, train_time = 7sec
[i] iter = 20300, loss = 0.4691, x_loss = 0.3008, l2_reg_loss = 0.1683, accuracy = 94.27, train_time = 7sec
[i] iter = 20400, loss = 0.4514, x_loss = 0.2829, l2_reg_loss = 0.1685, accuracy = 94.33, train_time = 7sec
[i] iter = 20500, loss = 0.4412, x_loss = 0.2726, l2_reg_loss = 0.1686, accuracy = 94.70, train_time = 7sec
[i] iter = 20600, loss = 0.4477, x_loss = 0.2788, l2_reg_loss = 0.1689, accuracy = 94.75, train_time = 7sec
[i] iter = 20700, loss = 0.4579, x_loss = 0.2892, l2_reg_loss = 0.1687, accuracy = 94.41, train_time = 7sec
[i] iter = 20800, loss = 0.4334, x_loss = 0.2650, l2_reg_loss = 0.1684, accuracy = 94.98, train_time = 7sec
[i] iter = 20900, loss = 0.4527, x_loss = 0.2846, l2_reg_loss = 0.1682, accuracy = 94.47, train_time = 7sec
[i] iter = 21000, loss = 0.4673, x_loss = 0.2986, l2_reg_loss = 0.1687, accuracy = 94.45, train_time = 7sec
[i] iter = 21100, loss = 0.4542, x_loss = 0.2855, l2_reg_loss = 0.1687, accuracy = 94.27, train_time = 7sec
[i] iter = 21200, loss = 0.4682, x_loss = 0.2993, l2_reg_loss = 0.1689, accuracy = 94.03, train_time = 7sec
[i] iter = 21300, loss = 0.4413, x_loss = 0.2721, l2_reg_loss = 0.1692, accuracy = 95.09, train_time = 7sec
[i] iter = 21400, loss = 0.4298, x_loss = 0.2608, l2_reg_loss = 0.1691, accuracy = 95.23, train_time = 7sec
